GEFIS_EINHEIT,GEBIETS_NAME,INDIKATOR_NAME,2008,2009,2010,2011,2012,2013,2014
845200E,"Adlikon, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1331,1787,1528,1539,1726,2088,1991
813400E,"Adliswil, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1715,1768,1701,1668,1898,2052,1905
890400E,"Aesch, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1936,2062,2090,1985,2054,1887,1956
891400E,"Aeugst a.A., Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],2192,2312,2134,1674,2069,2023,2039
891000E,"Affoltern a.A., Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1292,1452,1345,1435,1939,1883,1872
BZ8910,"Affoltern, Bezirk",2 Nettoaufwendungen Bildung [Fr./Einw.],1552,1665,1632,1672,2098,2076,2062
847900E,"Altikon, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1610,1633,1846,1991,2288,2327,2348
BZ8450,"Andelfingen, Bezirk",2 Nettoaufwendungen Bildung [Fr./Einw.],1619,1743,1773,1822,2175,2200,2139
845000E,"Andelfingen, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],2015,2266,2306,1755,1939,1923,1986
818400E,"Bachenbülach, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1742,1719,1661,1745,1960,1925,1898
816400E,"Bachs, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],2123,2232,2223,2826,3600,3036,3027
834400E,"Bäretswil, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1476,1458,1456,1488,1934,1962,2004
830300E,"Bassersdorf, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1271,1362,1406,1631,1761,2038,1777
849400E,"Bauma, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1532,1552,1450,1450,2100,2298,2333
846300E,"Benken, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1750,1795,1821,1871,2194,2385,2075
841500E,"Berg a.I., Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1792,2061,1897,1756,1911,2191,1978
854401E,"Bertschikon, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1550,1756,1628,2036,1989,1939,
890300E,"Birmensdorf, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1326,1437,1451,1446,1758,1704,1751
890600E,"Bonstetten, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1421,1542,1678,1825,2066,2016,1982
811300E,"Boppelsen, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1905,1954,2024,2057,2327,2171,2364
831100E,"Brütten, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1841,1810,1848,1706,1693,1590,1564
860800E,"Bubikon, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1434,1525,1473,1621,2114,2210,2227
841400E,"Buch a.I., Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1664,1744,1824,1936,2442,2466,2469
810700E,"Buchs, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1427,1527,1483,1728,2055,2282,2259
BZ8180,"Bülach, Bezirk",2 Nettoaufwendungen Bildung [Fr./Einw.],1455,1529,1531,1592,1775,1843,1808
818000E,"Bülach, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1237,1358,1318,1479,1742,1787,1760
844700E,"Dachsen, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1505,1634,1551,1723,2196,2192,1989
847100E,"Dägerlen, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1524,1414,1478,1851,2356,2243,2489
810800E,"Dällikon, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1587,1669,1735,1847,1979,2084,2028
811400E,"Dänikon, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1435,1485,1541,1694,2073,1990,2002
842100E,"Dättlikon, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1821,1679,1870,2063,2579,2527,2629
BZ8157,"Dielsdorf, Bezirk",2 Nettoaufwendungen Bildung [Fr./Einw.],1569,1616,1641,1715,2070,2044,2051
815700E,"Dielsdorf, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1247,1446,1431,1507,1775,1712,1769
BZ8953,"Dietikon, Bezirk",2 Nettoaufwendungen Bildung [Fr./Einw.],1375,1402,1390,1425,1713,1715,1738
895300E,"Dietikon, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1304,1333,1319,1347,1805,1722,1733
830500E,"Dietlikon, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1492,1609,1677,1734,1936,1905,1878
847400E,"Dinhard, Konsolidierte Gemeinde",2 Nettoaufwendungen Bildung [Fr./Einw.],1514,1375,1443,1548,1882,1954,1798
