INDIKATOR_ID;INDIKATOR_NAME;EINHEIT_LANG;QUELLE;BESCHREIBUNG;
1;Einheit;null;Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS);GEFIS-Einheit, eindeutiger Code (Primärschlüssel) der öffentlich-rechtlichen Körperschaft;
3;BFS-Nr. / SGEM;null;Bundesamt für Statistik BFS, Bildungsstatistik Kanton Zürich (BISTA);Schulgemeinde Code (SGEM) gemäss BISTA bei Schulgemeinden oder Amtliche Gemeindenummer (BFS-Nr.) bei Politischen Gemeinden gemäss amtlichem Gemeindeverzeichnis des Bundesamtes für Statistik BFS;
1122;0 Nettoaufwendungen Behörden und allg. Verwaltung [Fr./Einw.];Franken pro Einwohner;Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS);Nettoaufwendungen für Behörden und allgemeine Verwaltung;
1123;1 Nettoaufwendungen Rechtschutz und Sicherheit [Fr./Einw.];Franken pro Einwohner;Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS);Nettoaufwendungen für Rechtschutz und Sicherheit;
1124;2 Nettoaufwendungen Bildung [Fr./Einw.];Franken pro Einwohner;Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS);Nettoaufwendungen für Bildung;
1125;3 Nettoaufwendungen Kultur und Freizeit [Fr./Einw.];Franken pro Einwohner;Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS);Nettoaufwendungen für Kultur und Freizeit;
1126;4 Nettoaufwendungen Gesundheit [Fr./Einw.];Franken pro Einwohner;Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS);Nettoaufwendungen für Gesundheit;
1127;5 Nettoaufwendungen Soziale Wohlfahrt [Fr./Einw.];Franken pro Einwohner;Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS);Nettoaufwendungen für soziale Wohlfahrt;
1128;6 Nettoaufwendungen Verkehr [Fr./Einw.];Franken pro Einwohner;Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS);Nettoaufwendungen für Verkehr;
1129;7 Nettoaufwendungen Umwelt und Raumordnung [Fr./Einw.];Franken pro Einwohner;Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS);Nettoaufwendungen für Umwelt und Raumordnung;
1130;8 Nettoaufwendungen Volkswirtschaft [Fr./Einw.];Franken pro Einwohner;Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS);Nettoaufwendungen für Volkswirtschaft;
1131;9 Nettoaufwendungen Finanzen und Steuern [Fr./Einw.];Franken pro Einwohner;Statistisches Amt des Kantons Zürich, Gemeindefinanzstatistik (GEFIS);Nettoaufwendungen für Finanzen und Steuern;
